,제목,가사
0,BINGO,옆집에 사는 개이름 빙고라지요 / B I N G O / B I N G O / B I N G O /  빙고 개 이름
1,Edelweiss 에델바이스,"Edelweiss, Edelweiss,  Every morning you greet me.  Small and white, clean and bright,  You look happy to meet me.  Blossom of snow,  may you bloom and grow,  Bloom and grow forever.  Edelweiss, Edelweiss,  Bless my homeland forever."
2,Ten Little Indians,"One little, two little, Three little Indians.  Four little, five little, Six little Indians.  Seven little, eight little,Nine little Indians,  Ten little Indian boys.  Ten little, nine little, Eight little Indians.  Seven little, six little, five little Indians.  Four little, three little, Two little Indians,  One little Indian boy.  One little Indian boy."
3,TV 유치원 하나 둘 셋,친구야 손 잡고 하나 둘 셋  엄마도 아빠도 하나 둘 셋  우리는 언제나 하나 둘 셋  정말 정말 좋아요 하나 둘 셋  풍선 타고 동동동 구름 타고 동동동  우리는 언제나 좋아요  정말 정말 좋아요 하나 둘 셋
4,가게놀이,가게놀이 할 사람 모두모여라  가게놀이 할 사람 모두모여라  사과 한개 주세요  1000원입니다.  귤 하나 주세요  그것도 1000원이죠  그럼 모두다 얼마입니까  1000원하고 또 1000원 2000원이죠
5,가위바위보(쎄쎄쎄),아침 바람 찬 바람에  울고 가는 저 기러기  우리 선생 계실 적에  엽서 한 장 써 주세요  한 장 말고 두 장이요  두 장 말고 세 장이요  구리구리 멍텅구리(빙글빙글 빙글빙글)  가위 바위 보
6,강아지,우리집 강아지는 복슬 강아지  어머니가 빨래 가면 멍멍멍  쫄랑쫄랑 따라가며 멍멍멍  우리집 강아지는 예쁜 강아지  학교 갔다 돌아오면 멍멍멍  꼬리치고 반갑다고 멍멍멍
7,개구리,개굴개굴 개구리 노래를 한다  아들 손자 며느리 다 모여서  밤새도록 하여도 듣는 이 없네  듣는 사람 없어도 날이 밝도록  개굴개굴 개구리 노래를 한다  개굴개굴 개구리 목청도 좋다
8,개구리,엄마 개구리가 노래 부른다  꽥꽥 꽥꽥꽥꽥꽥 꽥꽥꽥꽥꽥  이야이야요 이야이야요  이야이야이야이야 이야이야요  아기 개구리가 노래 부른다  깩깩 깩깩깩깩깩 깩깩깩깩깩  이야이야요 이야이야요  이야이야이야이야 이야이야요  아빠 개구리도 노래 부른다  골골 골골골골골 골골골골골  이야이야요 이야이야요  이야이야이야이야 이야이야요
9,겨울나무,나무야 나무야 겨울 나무야  눈 쌓인 응달에 외로이 서서  아무도 찾지 않는 추운 겨울을  바람 따라 휘파람만 불고 있느냐
10,겨울바람,손이 시려워 (꽁) 발이 시려워 (꽁)  겨울 바람 때문에 (꽁꽁꽁)  손이 꽁꽁꽁 (꽁) 발이 꽁꽁꽁 (꽁)  겨울 바람 때문에 (꽁꽁꽁)  어디서 이 바람은 시작됐는지  산 너머인지 바다 건넌지  너무 너무 얄미워
11,고기 잡이,고기를 잡으러 바다로 갈까나.  고기를 잡으러 강으로 갈까나.  이 병에 가득히 넣어 가지고서  라라라라 라라라라 온다나.  선생님 모시고 가고 싶지마는  하는 수 있나요 우리만 가야지.  하는 수 있나요 우리만 가야지.  라라라라 라라라라 간다나.  솨솨솨 쉬쉬쉬 고기를 몰아서  어여쁜 이 병에 가득히 차면은  선생님한테로 가지고 온다나.  라라라라 라라라라 굿바이.
12,고드름,고드름 고드름 수정 고드름  고드름 따다가 발을 엮어서  각시방 영창에 달아 놓아요
13,고향의 봄,1. 나의 살던 고향은 꽃피는 산골  복숭아꽃 살구꽃 아기진달래  울긋불긋 꽃 대궐 차리인 동네  그 속에서 놀던 때가 그립습니다  2. 꽃동네 새 동네 나의 옛 고향  파란들 남쪽에서 바람이 불면  냇가에 수양버들 춤추는 동네  그속에서 놀던 때가 그립습니다
14,곰 세 마리,곰 세 마리가 한 집에 있어  아빠곰 엄마곰 애기곰  아빠곰은 뚱뚱해  엄마곰은 날씬해  애기곰은 너무 귀여워  으쓱으쓱 잘한다
15,과꽃,올해도 과꽃이 피었습니다  꽃밭 가득 예쁘게 피었습니다  누나는 과꽃을 좋아했지요  꽃이 피면 꽃밭에서 아주살았죠  과꽃 예쁜 꽃을 들여다 보면  꽃 속에 누나 얼굴 떠오릅니다  시집간 지 온 삼년 소식이 없는  누나가 가을이면 더 생각나요
16,과수원 길,동구 밖 과수원길 아카시아 꽃이 활짝 폈네  하얀 꽃 이파리 눈송이처럼 날리네  향긋한 꽃냄새가 실바람타고 솔솔  둘이서 말이 없네 얼굴 마주 보며 생긋  아카시아 꽃 하얗게 핀 먼 옛날에 과수원길  과수원길
17,귀여운 꼬마,귀여운 꼬마가 닭장에 가서  암탉을 잡으려다 놓쳤다네  닭장 밖에 있던 배고픈 여우  옳거니 하면서 물고 갔다네  꼬꼬댁 암탉 소리를 쳤네  꼬꼬댁 암탉 소리를 쳤네  귀여운 꼬마가 그 꼴을 보고  웃을까 울을까 망설였다네
18,그대로 멈춰라,즐겁게 춤을 추다가 그대로 멈춰라  즐겁게 춤을 추다가 그대로 멈춰라  눈도 감지 말고 웃지도 말고  울지도 말고 움직이지 마  즐겁게 춤을 추다가 그대로 멈춰라  즐겁게 춤을 추다가 그대로 멈춰라
19,기차길옆,기찻길 옆 오막살이 아기 아기 잘도 잔다  칙폭 칙칙폭폭 칙칙폭폭 칙칙폭폭 기차소리 요란해도  아기 아기 잘도 잔다  기찻길 옆 옥수수밭 옥수수는 잘도 큰다  칙폭 칙칙폭폭 칙칙폭폭 칙칙폭폭 기차소리 요란해도  옥수수는 잘도 큰다
20,기차를 타고,1. 기차타고 신나게 달려가보자  높은 산도 지나고 넓은 들도 지나고  푸른산을 지날때엔 산새를 찾고  넓은 바다 지날때엔 물새와 놀고  설레임을 가득 안고 달려가보자  새로운 세상이 자꾸자꾸 보인다  2. 기차타고 신나게 달려가보자  높은 산도 지나고 넓은 들도 지나고  따뜻한 마음을 서로 나누면  처음 만난 옆사람도 정다운 이웃  즐거움을 가득 안고 달려가보자  아름다운 세상이 자꾸자꾸 보인다
21,기찻길 옆,기찻길 옆 오막살이  아기 아기 잘도 잔다  칙 폭 칙칙 폭폭  칙칙폭폭 칙칙폭폭  기차소리 요란해도  아기 아기 잘도 잔다
22,"깊은 계곡, 깊은 계곡 광산 마을 동굴 집에","늙은 아빠 어여쁜 딸이 사랑으로 살았네  오 내사랑 오 내사랑 나의 귀여운 클레멘타인  너는 영영 가버리고 나만 홀로 남았네  나만 슬피 남았네, 클레멘타인  매일 아침 9시 쯤 귀여운 오리들을 데리고  물가로 나가던 네 모습  너의 작은 발이 가지에 걸려  거품이는 수렁에 빠졌네  오 내사랑 오 내사랑 나의 귀여운 클레멘타인  너는 영영 가버리고 나만 홀로 남았네  나만 슬피 남았네, 클레멘타인"
23,깡깡총체조,손을 높이 손을 높이  쭉쭉쭉 쭉쭉 뻗어 봐요  발을 쿵쿵 발을 쿵쿵  쿵쿵쿵 쿵쿵 굴러 봐요  엉덩이를 실룩 실룩샐룩  이쪽 저쪽 실룩샐룩  뱅글뱅글 빙글빙글  깡깡총 깡총깡총 깡깡총
